open,high,low,close,volume
18.58,18.59,18.58,18.59,651
18.58,18.6,18.56,18.6,3719
18.62,18.62,18.62,18.62,500
18.61,18.61,18.6,18.6,400
18.6,18.6,18.6,18.6,900
18.63,18.63,18.62,18.63,1300
18.62,18.62,18.61,18.61,400
18.61,18.61,18.61,18.61,1520
18.63,18.63,18.63,18.63,805
18.61,18.61,18.61,18.61,1982
18.61,18.62,18.61,18.62,3117
18.62,18.63,18.62,18.63,1200
18.63,18.64,18.63,18.64,1872
18.64,18.65,18.64,18.65,571
18.66,18.66,18.66,18.66,200
18.67,18.67,18.67,18.67,500
18.68,18.69,18.68,18.69,750
18.69,18.72,18.69,18.72,493
18.69,18.69,18.69,18.69,2052
18.67,18.67,18.67,18.67,400
18.68,18.69,18.68,18.69,2712
18.71,18.71,18.71,18.71,200
18.71,18.71,18.71,18.71,603
18.7,18.7,18.7,18.7,650
18.7,18.73,18.7,18.72,4552
18.73,18.74,18.73,18.74,500
18.73,18.74,18.73,18.74,2803
18.74,18.74,18.73,18.74,2800
18.74,18.75,18.74,18.75,1330
18.75,18.76,18.75,18.76,1875
18.78,18.78,18.78,18.78,350
18.77,18.77,18.77,18.77,259
18.76,18.76,18.75,18.75,500
18.73,18.75,18.73,18.75,1463
18.75,18.75,18.75,18.75,687
18.76,18.78,18.76,18.77,6834
18.77,18.77,18.77,18.77,500
18.77,18.79,18.77,18.79,2700
18.79,18.8,18.79,18.8,2197
18.8,18.8,18.76,18.77,11435
18.79,18.79,18.78,18.78,452
18.8,18.85,18.8,18.8,3997
18.8,18.81,18.8,18.8,843
18.81,18.81,18.81,18.81,300
18.82,18.82,18.81,18.82,2300
18.82,18.87,18.82,18.87,1902
18.87,18.87,18.86,18.87,900
18.84,18.84,18.84,18.84,483
18.85,18.85,18.85,18.85,300
18.85,18.86,18.85,18.86,2258
18.85,18.86,18.84,18.84,2513
18.84,18.84,18.84,18.84,100
18.84,18.85,18.84,18.84,1200
18.84,18.84,18.84,18.84,800
18.85,18.87,18.85,18.85,3793
18.87,18.88,18.86,18.88,2940
18.88,18.89,18.87,18.87,2107
18.87,18.87,18.85,18.85,1324
18.86,18.86,18.86,18.86,160
18.85,18.85,18.81,18.81,834
18.83,18.83,18.83,18.83,586
18.85,18.86,18.85,18.86,881
18.86,18.86,18.86,18.86,366
18.86,18.86,18.85,18.85,302
18.85,18.87,18.8,18.84,8692
18.83,18.83,18.82,18.83,4833
18.83,18.83,18.83,18.83,1000
18.83,18.85,18.83,18.85,8251
18.85,18.86,18.85,18.86,2128
18.86,18.86,18.85,18.85,2584
18.86,18.86,18.86,18.86,700
18.87,18.88,18.87,18.88,724
18.89,18.9,18.89,18.89,1421
18.9,18.95,18.9,18.93,4486
18.94,18.96,18.94,18.96,500
18.96,18.96,18.94,18.94,2100
